,user_id,product_id
0,513091693,4804056
1,513667554,4803866
2,513667554,4803866
3,513667554,4803866
4,524154455,3700885
5,524154455,2900802
6,569539602,4804056
7,569539602,4804056
8,564094055,3600182
9,564094055,3600182
10,564094055,3600182
11,564094055,3600182
12,564094055,3600182
13,564094055,3600182
14,512836785,4804056
15,513205871,6000094
16,513205871,6000094
17,513205871,6000094
18,513205871,6000094
19,513205871,6000094
20,532777298,1801561
21,524154455,3601437
22,532777298,1801561
23,532777298,1801561
24,524154455,3601437
25,532777298,1801561
26,524154455,3601448
27,569539602,5801393
28,524154455,3601437
29,569539602,5801393
30,569539602,5801393
31,514626487,1801940
32,524154455,3100971
33,564094055,3600182
34,512738070,4803984
35,512738070,4803984
36,577121508,1801881
37,521369241,6200724
38,512738070,6200284
39,543007387,1802037
40,543007387,1801739
41,524154455,3100189
42,516312253,100023426
43,513228687,1005104
44,513228687,1005115
45,513228687,1005116
46,513228687,1005116
47,513228687,1005116
48,513228687,1005116
49,516312253,100023514
50,516312253,100023514
51,516312253,100023514
52,516312253,100023514
53,513228687,1005104
54,522825487,100023500
55,522825487,1005221
56,513228687,1005104
57,518278226,8700571
58,518278226,8700571
59,518278226,8700571
60,518278226,8700571
61,603771445,1004836
62,513205871,1004226
63,513205871,1004226
64,589633085,1004356
65,558300085,1307478
66,558300085,1307478
67,516312253,100023426
68,516312253,100023426
69,512609586,1004496
70,527758941,1004249
71,527758941,1004249
72,527758941,1004250
73,603771445,1005212
74,603771445,1005212
75,577121508,1004767
76,577121508,1004767
77,577121508,1004767
78,577121508,1004767
79,589633085,1004241
80,589633085,1004362
81,603771445,1005212
82,513228687,1005104
83,589633085,1004362
84,518682841,3700704
85,618657257,100033708
86,563702871,1005266
87,513045100,3701088
88,555820742,1005225
89,555820742,1004961
90,580098315,3601603
91,580098315,3601603
92,526608361,1004888
93,526608361,1004767
94,580361833,2702256
95,580361833,2702256
96,583746391,1004903
97,583746391,1004903
98,583746391,1004903
99,583746391,1004903
100,583746391,1004720
101,579815133,1004873
102,524847632,26400278
103,516757092,9101365
104,516757092,9101365
105,584686291,1005177
106,542853458,1004856
107,524847632,26400278
108,524847632,26400278
109,561976769,1004709
110,561976769,1004708
111,513785498,15201325
112,513785498,15200988
113,585982013,1005160
114,585982013,1004838
115,564094055,1004723
116,580098315,1005212
117,524832362,1005162
118,524832362,1005162
119,588483191,1004741
120,588483191,1004741
121,588483191,1004741
122,588483191,1004775
123,515006076,8700218
124,529408499,1004838
125,581129247,1004767
126,589410691,100041324
127,514772039,1005235
128,542853458,1004767
129,585982013,1005190
130,591186134,1005099
131,513228687,1005115
132,542853458,14100123
133,522825487,1005221
134,514626487,1004903
135,513221416,1005159
136,594703354,1004870
137,513205871,1005253
138,513205871,1005105
139,585982013,1004767
140,585982013,1004767
141,522825487,1005221
142,522825487,1005221
143,522825487,1005221
144,522825487,1005221
145,568185215,1801766
146,513228687,1005104
147,542853458,1004785
148,562240294,1004767
149,562240294,1004767
150,513045100,100033708
151,589633085,1005160
152,589633085,1005160
153,513045100,100033708
154,513045100,100033708
155,513045100,1005253
156,585982013,1005225
157,513045100,1005253
158,521369241,7600336
159,593488619,1600587
160,585982013,1004767
161,577121508,1004767
162,526608361,26300076
163,513228687,1005104
164,526608361,26300746
165,601693946,1005112
166,577121508,1003533
167,513667554,6800653
168,515055871,1005212
169,513667554,6800658
170,513667554,6800658
171,513667554,21800289
172,594703354,1307352
173,594703354,1005115
174,594703354,1005212
175,595747482,6701209
176,595747482,6500907
177,603771445,1004836
178,513667554,6800658
179,603771445,1005212
180,542853458,1004767
181,568975623,1002544
182,577121508,1003533
183,594703354,1004767
184,594703354,1005100
185,514626487,1004903
186,513228687,1005115
187,550205588,1004768
188,515910597,100012418
189,594703354,1201361
190,594703354,1005105
191,594703354,1004856
192,515910597,6301570
193,542853458,1005100
194,515910597,2502095
195,515910597,2501753
196,515910597,2500566
197,515910597,6301570
198,515910597,2501069
199,518278226,8700571
200,518278226,8700571
201,513667554,6800658
202,512490959,14500100
203,577121508,1004873
204,518278226,8700572
205,553180547,26400293
206,552790998,5800956
